Method,LogLik,sigma_y,a,b,sigma_x,ID
Standard (c=1000),-3597.682213153841,0.4516916513548492,0.007052714975730234,0.9990613665770147,0.011083508256675168,34
Robust (c=5.14),-7423.826285729062,1.1328115721801977,0.03874793327924836,0.9676185982433465,0.05308132858000309,35
Standard (c=1000),-6720.129211673799,0.9302963987182952,0.02255524876678295,0.9704069992874059,0.05403372256789692,35
Robust (c=5.14),-3087.680714074995,0.4569344616509909,0.0584044349205418,0.9936781015476406,0.012066671238805603,36
Standard (c=1000),-3693.23901395371,0.5084030528643885,0.0655143650666848,0.9930530081785268,0.011742051086148536,36
Robust (c=5.14),-3658.363281935388,0.47602034797380205,0.0707747250544303,0.9999054480778415,0.019901272590358107,37
Standard (c=1000),-4744.778104657422,0.8538884453249916,0.02981321951342441,0.9967407158918653,0.003986944073241411,37
Robust (c=5.14),-2828.5575283007875,0.32559217927536105,0.06348252908949248,0.9933615666064086,0.017756596928070845,38
Standard (c=1000),-3612.717494125587,0.4548822714864508,0.036231417536447236,0.9958170325280425,0.010632910438489197,38
Robust (c=5.14),-2840.516489701739,0.33314233617881966,0.08562943711586803,0.9904479413911325,0.01525928802552391,39
Standard (c=1000),-3776.035827963056,0.3696757514175726,0.09504602602151321,0.9898662652987297,0.019000859161584255,39
Robust (c=5.14),-2811.3853893303194,0.3609179426346161,0.0027509062149175065,0.999672104229978,0.0075712868459444855,40
Standard (c=1000),-3703.2483386785675,0.470655771320838,0.0060612177517174945,0.9973089752366009,0.013520241921147109,40
Robust (c=5.14),-8016.388379894733,1.8997248458950362,0.00416279768194347,0.999338067555746,0.004308076423129164,41
Standard (c=1000),-9162.485894990417,1.9079464831313417,0.005205266773304182,0.9997084906722805,3.777572008720666e-07,41
Robust (c=5.14),-2807.7032223870133,0.31564521453118227,0.07208741894507585,0.992937959805516,0.01624985242099981,42
Standard (c=1000),-3656.43440462028,0.44039003899251083,0.07273869888219364,0.9916215285029126,0.015203455634968138,42
Robust (c=5.14),-3152.21595226917,0.3398262168049166,0.033123095438072986,0.994738429890171,0.02984553921524288,43
Standard (c=1000),-3644.9876984795783,0.4500883503608003,0.06509150357854607,0.9931635647768229,0.013051737291711552,43
Robust (c=5.14),-2791.498181454124,0.32414811862063964,0.0015694734123892194,0.9997357956920269,0.012459838457623287,44
Standard (c=1000),-3664.173972877882,0.5275641067874726,0.00891279482683886,0.9998887791584835,0.007806868599213681,44
Robust (c=5.14),-5290.010268228281,0.9882655519588991,0.07100433145981233,0.992964855224236,0.008514316111889788,45
Standard (c=1000),-5272.777151708669,0.9874896788345333,0.04953313336847132,0.9951420737279033,0.007550885014313753,45
Robust (c=5.14),-2818.2421685336403,0.31734385278690075,0.07877151791962644,0.992118740365854,0.0152045919465268,46
Standard (c=1000),-3587.703754084913,0.46994886386435125,0.008314825172520258,0.9989195416324291,0.008236447268366196,46
Robust (c=5.14),-2864.449344036456,0.29087847594595456,0.09951760911196994,0.9901413779685371,0.014727001782533647,47
Standard (c=1000),-3720.503427423978,0.4276399047730476,0.11893958895592187,0.9871181901661017,0.016923639990596522,47
Robust (c=5.14),-2797.4514607701794,0.30462002343262656,0.038777179427913006,0.9965868060064423,0.015482899513874049,48
Standard (c=1000),-3729.389598910166,0.4384701588898685,0.1207324191720986,0.9880270837825668,0.016230622239185095,48
Robust (c=5.14),-2805.510270478908,0.32517886313026123,0.02358385833022364,0.999040736801202,0.014936811056069045,49
Standard (c=1000),-12518.349066211109,0.2167286037287618,0.02532383777608598,0.9927653102628231,0.4215635940039753,49
Robust (c=5.14),-2832.3819589115956,0.32561030070907826,0.005823325411275959,0.9980284312212502,0.012732772672323067,50
Standard (c=1000),-3599.539771086357,0.45887631320287026,0.030358766892764573,0.996999123713293,0.011350866546107409,50
Robust (c=5.14),-2784.714260485901,0.30867297588317916,0.0014848389301117973,0.9998037684531084,0.014040928695599588,51
Standard (c=1000),-3585.6126215986355,0.4603336002669091,0.0019366734856227032,0.9999089057639506,0.007302577564702812,51
Robust (c=5.14),-2786.6336838255916,0.3202159853185654,0.003124395505225405,0.9999606288508341,0.01324730335257636,52
Standard (c=1000),-3580.794583154577,0.4610019034349462,0.002892492020688138,0.9999102263730774,0.006268936448373086,52
Robust (c=5.14),-2953.834298486643,0.3867439053810669,0.059028146926330675,0.9929387967729604,0.013420874358331761,53
Standard (c=1000),-4010.1665200357456,0.664405197300565,0.012858109659510958,0.9990079683537144,0.0055891131929717425,53
Robust (c=5.14),-2780.173702630519,0.334490521279052,0.0054661420110497135,0.9993730585775544,0.011563461008362573,54
Standard (c=1000),-3585.9208776614605,0.47421291382022135,0.00878331414359358,0.9990321518392055,0.007786392495781294,54
Robust (c=5.14),-2905.043117344757,0.27511532318810294,0.13792384057311574,0.9846572334711551,0.020722647970449693,55
Standard (c=1000),-3725.766941515103,0.4279758334810303,0.11523539119279272,0.9872041333464971,0.01608503375191639,55
Robust (c=5.14),-5149.947251855696,0.9736905525230158,0.03666786708614696,0.9962570691125668,0.005654024500460275,56
Standard (c=1000),-5118.156124360252,0.9452745480953255,0.05088192520191331,0.9947684720455177,0.005493943372047716,56
Robust (c=5.14),-2829.7116094116377,0.30968795413518746,0.009572975093531763,0.9978097979470867,0.017369290392215457,57
Standard (c=1000),-3608.2826898668804,0.45183301210150056,0.013881619681673327,0.9989244573543591,0.013350880446277887,57
Robust (c=5.14),-8183.552204432936,1.7211107388735085,0.05395513038494659,0.9952776354764201,9.327561111724133e-05,58
Standard (c=1000),-7978.4247710984455,1.7559697911582972,0.053258519122477144,0.9953159029911481,0.0008429309449776312,58
Robust (c=5.14),-4234.034453089679,0.7626971279127607,0.015249876415992916,0.9986849502290154,0.001678675635735825,59
Standard (c=1000),-4485.9724219242125,0.7890944075016393,0.019217544532384064,0.9981286460764021,0.0015700213809791757,59
Robust (c=5.14),-2782.389376017551,0.31596699419737456,0.0021137235727819357,0.9997529992819761,0.012741103322262777,60
Standard (c=1000),-3585.5079007460786,0.46643606684964767,0.008530223160206924,0.9993092005521618,0.006432152647230863,60
Robust (c=5.14),-2812.5729986289584,0.31852358158594196,0.019535776180348886,0.9997921426583186,0.0129343777196504,61
Standard (c=1000),-3595.5756631517056,0.47956587411759677,0.006541083302719908,0.9999613202010631,0.008255704517785907,61
Robust (c=5.14),-2799.7759336393256,0.3089835694739215,0.0518232868544348,0.9946890806220253,0.016668770520078854,62
Standard (c=1000),-3691.122012262683,0.43370047974278453,0.060957148526617703,0.995831606175261,0.015668332813542633,62
Robust (c=5.14),-2779.591720432334,0.3277425161640431,0.01714966631501328,0.9986146362132239,0.011789205492221212,63
Standard (c=1000),-3591.2249660311636,0.46344054230279885,0.008281720717862446,0.9991609155062806,0.01076321440095915,63
Robust (c=5.14),-2787.7469356032493,0.30387981672374004,0.04371285014813994,0.9953905551958412,0.015088106928174633,64
Standard (c=1000),-3627.331469868938,0.4411739767967621,0.05467534378041273,0.9940727150987438,0.013019972500472373,64
Robust (c=5.14),-42671.553555695944,1.999524416241819,0.0037636207005531967,0.991450119279263,0.0016086762081622015,65
Standard (c=1000),-86845.7107783333,1.9999760659913386,0.0038288141793553776,0.9910203066218388,0.001865708198181556,65
Robust (c=5.14),-2800.0938125967214,0.33793156236699584,0.0054365255647768895,0.9987260943173996,0.013153377647505918,66
Standard (c=1000),-3597.3679874479135,0.4567468816960135,0.0042098244593895065,0.9993302125088317,0.007879151674603017,66
Robust (c=5.14),-2826.4352646126904,0.3176060068242646,0.08353230164024304,0.9915012161065383,0.015303508885914547,67
Standard (c=1000),-3656.963228792906,0.45893469989471497,0.06511472932971574,0.9939816295792984,0.011277257721068686,67
Robust (c=5.14),-9200.620163888041,1.9236062617389549,0.004325328749821023,0.9997290338216197,1.4672999174934235e-07,68
Standard (c=1000),-54966.15767801512,1.979562941586715,0.005075944557887013,0.9982419155352199,0.00010627579878802059,68
Robust (c=5.14),-2779.6671816368284,0.32184203406969025,0.03528515604489234,0.9970245359149349,0.012710552041976343,69
