Method,LogLik,sigma_y,a,b,sigma_x,ID
Standard (c=1000),-2223.0615916657516,0.5032752259475324,0.0072460372164974,0.999347499413327,0.004723318325288855,28
Robust (c=5.14),-1307.9993539644975,0.2705152127124036,0.09716481654592829,0.9997497207846878,0.01814773098585396,29
Standard (c=1000),-2206.813810024352,0.47789660118740024,0.007454581543123072,0.9995269020913585,0.005893308479730851,29
Robust (c=5.14),-767.3533798592587,0.17503155445499977,0.03741514324498715,0.9963319175867227,0.01513929206263273,30
Standard (c=1000),-2208.3395874131756,0.4656778473673439,0.03307937762760284,0.9973326923197504,0.007254038886353782,30
Robust (c=5.14),-9669.309880302844,0.19340958841448352,0.09444542207366773,0.9778853614733611,0.8128082216132397,31
Standard (c=1000),-9827.067033516942,0.2549953373065357,0.10277179240863966,0.9769793314713945,0.8145086853045062,31
Robust (c=5.14),-2391.6864577241995,0.4822367170712914,0.15947362925931413,0.9993791164896735,0.02941003933407978,32
Standard (c=1000),-4071.863257351884,1.30912061697559,0.2042097149606909,0.9847662754974579,0.014166363125152041,32
Robust (c=5.14),-3133.825237079098,0.5170172043845696,0.081892068081962,0.966820085128385,0.041794943210518874,33
Standard (c=1000),-2317.772435492311,0.4612103196936867,0.03563034856893551,0.9952496686899249,0.01463435428846995,33
Robust (c=5.14),-624.2701420923489,0.22501201208808325,0.07578360030938266,0.9930026147668765,0.0075424451151029455,34
Standard (c=1000),-2290.7421541122803,0.4116881204063281,0.10403139870658934,0.9898091710835024,0.0123633491683066,34
Robust (c=5.14),-5081.959358085674,1.9201554981300788,0.03208739584183183,0.9963117435583237,0.007267487529068791,35
Standard (c=1000),-4179.473745937116,0.7476275407500106,0.01280771543183458,0.9648779877299927,0.059129639246502545,35
Robust (c=5.14),-623.3457384102738,0.2310857501098133,0.02474082976288152,0.9976730442875794,0.006587703454061196,36
Standard (c=1000),-2207.9959176975362,0.4948901010369891,0.05937934126156916,0.9946349842057975,0.005146965071700107,36
Robust (c=5.14),-2248.5997707904767,0.6501719968184945,0.09228528336954696,0.9906053091249696,0.012469839550449929,37
Standard (c=1000),-2827.57102611597,0.8005170532810036,0.07299739636205496,0.9940932274493577,0.006203668404948095,37
Robust (c=5.14),-636.6827924008755,0.22149853042543852,0.014017412627037422,0.9986508721349989,0.007653950060053473,38
Standard (c=1000),-2217.2388011062867,0.4669646637766766,0.07171023767173976,0.9940456421595191,0.008875080474762976,38
